seed,ROI_i,ROI_j,mean_abs_shap
7,ROI_44,ROI_16,0.0
7,ROI_44,ROI_17,0.0
7,ROI_44,ROI_18,0.0
7,ROI_44,ROI_19,0.0
7,ROI_44,ROI_21,0.0
7,ROI_44,ROI_32,0.0
7,ROI_44,ROI_22,0.0
7,ROI_44,ROI_23,0.0
7,ROI_33,ROI_11,0.0
7,ROI_44,ROI_25,0.0
7,ROI_44,ROI_26,0.0
7,ROI_44,ROI_27,0.0
7,ROI_44,ROI_28,0.0
7,ROI_44,ROI_29,0.0
7,ROI_44,ROI_30,0.0
7,ROI_44,ROI_31,0.0
7,ROI_33,ROI_10,0.0
7,ROI_44,ROI_56,0.0
7,ROI_44,ROI_57,0.0
7,ROI_44,ROI_58,0.0
7,ROI_33,ROI_4,0.0
7,ROI_45,ROI_25,0.0
7,ROI_45,ROI_26,0.0
7,ROI_45,ROI_27,0.0
7,ROI_45,ROI_28,0.0
7,ROI_45,ROI_29,0.0
7,ROI_45,ROI_30,0.0
7,ROI_45,ROI_31,0.0
7,ROI_45,ROI_32,0.0
7,ROI_45,ROI_33,0.0
7,ROI_45,ROI_34,0.0
7,ROI_45,ROI_35,0.0
7,ROI_45,ROI_37,0.0
7,ROI_44,ROI_59,0.0
7,ROI_33,ROI_3,0.0
7,ROI_45,ROI_38,0.0
7,ROI_45,ROI_39,0.0
7,ROI_45,ROI_40,0.0
7,ROI_45,ROI_41,0.0
7,ROI_45,ROI_42,0.0
7,ROI_45,ROI_43,0.0
7,ROI_45,ROI_44,0.0
7,ROI_45,ROI_45,0.0
7,ROI_45,ROI_46,0.0
7,ROI_45,ROI_47,0.0
7,ROI_45,ROI_24,0.0
7,ROI_45,ROI_23,0.0
7,ROI_45,ROI_22,0.0
7,ROI_45,ROI_21,0.0
7,ROI_44,ROI_60,0.0
7,ROI_44,ROI_61,0.0
7,ROI_44,ROI_62,0.0
7,ROI_45,ROI_1,0.0
7,ROI_45,ROI_2,0.0
7,ROI_45,ROI_3,0.0
7,ROI_45,ROI_4,0.0
7,ROI_45,ROI_5,0.0
7,ROI_45,ROI_6,0.0
7,ROI_45,ROI_7,0.0
7,ROI_45,ROI_8,0.0
7,ROI_45,ROI_9,0.0
7,ROI_45,ROI_10,0.0
7,ROI_45,ROI_11,0.0
7,ROI_33,ROI_5,0.0
7,ROI_45,ROI_13,0.0
7,ROI_45,ROI_14,0.0
7,ROI_45,ROI_15,0.0
7,ROI_45,ROI_16,0.0
