seed,ROI_i,ROI_j,mean_abs_shap,median_shap,std_shap,iqr_shap
29,ROI_7,ROI_42,0.0051954514,0.0051954514,0.0,0.0
29,ROI_3,ROI_10,0.0051093902,0.0051093902,0.0,0.0
29,ROI_13,ROI_31,0.004754363,0.004754363,0.0,0.0
29,ROI_45,ROI_39,0.004201819,0.004201819,0.0,0.0
29,ROI_29,ROI_57,0.0037655735,0.0037655735,0.0,0.0
29,ROI_3,ROI_57,0.0032406216,0.0032406216,0.0,0.0
29,ROI_2,ROI_25,0.0032334225,0.0032334225,0.0,0.0
29,ROI_5,ROI_14,0.003099678,0.003099678,0.0,0.0
29,ROI_43,ROI_48,0.0030694958,0.0030694958,0.0,0.0
29,ROI_11,ROI_48,0.002569698,0.002569698,0.0,0.0
29,ROI_8,ROI_9,0.0022032056,0.0022032056,0.0,0.0
29,ROI_7,ROI_44,0.0021908884,0.0021908884,0.0,0.0
29,ROI_5,ROI_62,0.0019948804,0.0019948804,0.0,0.0
29,ROI_4,ROI_22,0.0018576488,0.0018576488,0.0,0.0
29,ROI_6,ROI_28,0.0018440621,0.0018440621,0.0,0.0
29,ROI_4,ROI_33,0.0018220602,0.0018220602,0.0,0.0
29,ROI_38,ROI_11,0.0014834848,0.0014834848,0.0,0.0
29,ROI_9,ROI_12,0.0011784785,0.0011784785,0.0,0.0
29,ROI_40,ROI_47,0.0,0.0,0.0,0.0
29,ROI_42,ROI_30,0.0,0.0,0.0,0.0
29,ROI_40,ROI_48,0.0,0.0,0.0,0.0
29,ROI_42,ROI_33,0.0,0.0,0.0,0.0
29,ROI_40,ROI_49,0.0,0.0,0.0,0.0
29,ROI_42,ROI_31,0.0,0.0,0.0,0.0
29,ROI_40,ROI_44,0.0,0.0,0.0,0.0
29,ROI_42,ROI_32,0.0,0.0,0.0,0.0
29,ROI_43,ROI_16,0.0,0.0,0.0,0.0
29,ROI_43,ROI_15,0.0,0.0,0.0,0.0
29,ROI_43,ROI_14,0.0,0.0,0.0,0.0
29,ROI_43,ROI_6,0.0,0.0,0.0,0.0
29,ROI_40,ROI_46,0.0,0.0,0.0,0.0
